target_start_ns,target_duration_ns,target_stream,target_family,target_name,offset,context_start_ns,context_duration_ns,context_stream,context_family,context_name
35444865341,608,7,copy / cast,[CUDA memcpy Host-to-Device],1,35697767392,7968,7,other,_zero_kv_blocks_kernel
35444865341,608,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device]
35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35444865341,608,7,copy / cast,[CUDA memcpy Host-to-Device]
35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35697767392,7968,7,other,_zero_kv_blocks_kernel
35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35697767392,7968,7,other,_zero_kv_blocks_kernel
35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device]
35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698185861,288,7,copy / cast,[CUDA memcpy Host-to-Device]
35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device]
35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698201574,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device]
35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698210310,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698397224,1152,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698218822,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698316551,352,7,copy / cast,[CUDA memcpy Host-to-Device]
35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698397224,1152,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698376488,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698397224,1152,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698397224,1152,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device]
35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698407848,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device]
35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698632235,2080,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::nati..."
35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device],-2,35698417256,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device],-1,35698428808,320,7,copy / cast,[CUDA memcpy Host-to-Device]
35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device],1,35698632235,2080,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::nati..."
35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device],2,35698662219,1568,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...
35698662219,1568,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-2,35698437448,289,7,copy / cast,[CUDA memcpy Host-to-Device]
35698662219,1568,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-1,35698632235,2080,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::nati..."
35698662219,1568,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,1,35698697420,1248,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
35698662219,1568,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,2,35698713676,1120,7,copy / cast,[CUDA memcpy Device-to-Device]
35698713676,1120,7,copy / cast,[CUDA memcpy Device-to-Device],-2,35698662219,1568,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...
35698713676,1120,7,copy / cast,[CUDA memcpy Device-to-Device],-1,35698697420,1248,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
35698713676,1120,7,copy / cast,[CUDA memcpy Device-to-Device],1,35698734476,1152,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
35698713676,1120,7,copy / cast,[CUDA memcpy Device-to-Device],2,35698743116,960,7,copy / cast,[CUDA memcpy Device-to-Device]
35698743116,960,7,copy / cast,[CUDA memcpy Device-to-Device],-2,35698713676,1120,7,copy / cast,[CUDA memcpy Device-to-Device]
